year,money,contracts,type,total
2000,139024112947,292731,defense,214233347867
2000,1146960201,5023,environment,214233347867
2000,5225811878,9622,nasa,214233347867
2001,149800890654,310580,defense,230117055508
2001,6402197127,9220,nasa,230117055508
2001,1127685087,5488,environment,230117055508
2002,1141657616,5275,environment,273018839802
2002,5925896772,9124,nasa,273018839802
2002,177531456666,434953,defense,273018839802
2003,1050500757,6007,environment,334538919062
2003,12200795254,10047,nasa,334538919062
2003,220293196217,542529,defense,334538919062
2004,96558754847,267412,defense,140091328398
2004,5324770219,7902,nasa,140091328398
2004,440234759,2486,environment,140091328398
2005,7363999865,11747,nasa,220348330637
2005,732976104,9873,environment,220348330637
2005,150745849105,709558,defense,220348330637
2006,473817511727,1182102,defense,610061955546
2006,1658916333,16138,environment,610061955546
2006,13185299766,20921,nasa,610061955546
2007,370143266644,1154395,defense,509881324889
2007,1434269799,16001,environment,509881324889
2007,13509949973,20501,nasa,509881324889
2008,93627352199,308012,defense,125678301072
2008,297178413,3220,environment,125678301072
2008,3750010498,5663,nasa,125678301072
2009,374821307232,791850,defense,540239127559
2009,1895970927,13932,environment,540239127559
2009,15840143529,24519,nasa,540239127559
2010,2336257790,1148,defense,46208246085
2010,570,1,environment,46208246085
2010,67385706,48,nasa,46208246085
2011,392246236598,1130534,defense,565579844963
2011,2047963463,15069,environment,565579844963
2011,16188008785,32752,nasa,565579844963
2012,381094664656,1063492,defense,554591501281
2012,1657311446,12789,environment,554591501281
2012,16444048463,25587,nasa,554591501281
2013,63630233671,228516,defense,202073431406
2013,1551377459,15069,environment,202073431406
2013,5619280728,7689,nasa,202073431406
2014,3099886903,7144,defense,23411897539
2014,1358760,38,environment,23411897539
2014,183754550,397,nasa,23411897539
2015,22000388271,86273,defense,141895911003
2015,1484069145,9049,environment,141895911003
2015,7734243002,9228,nasa,141895911003
2016,312634363149,3264362,defense,498013607557
2016,1520220106,8470,environment,498013607557
2016,18722523697,25532,nasa,498013607557
